comment,rating
"Even though the laptop doesn’t have backlight keyboard, its performance is very good, very fast boot and shut down, Screen clarity and sound clarity are also good.",5.0
Awesome display with good performance,5.0
"laptop Performance is Ok , especially availability of genuine windows and MS office Home edition along with bunch of other software preloaded. only you have to partition the SSD into local drives at your end to keep Program files in C drive . Otherwise it is Fast , better performance in 12th generation i3 processor from 11th generation i5.
Heating issue is there in all dell laptops including this one, so i will wait for next 2-3 months to check whether this heating issue creates any problem in performance of laptop in summers.
Dell shall arrange to direct blowers not towards the screen as in present case , in my opinion the the heat coming from blowers towards the screen may reduce or impact Screen due to heat blow. Laptop also heats from below , so i don't think it is advisable to keep it on lap ( legs) , better to operate on table or some platform.",4.0
Performance good very fast but charging it's very heated on devices and adaptor,4.0
"I like lightweight ,looks .performance is medium till now never hanged ,I disliked heating problem and no backlight for keyboard",3.0
Even though less than 6 months use faced problem in LCD and refuce the replacement. However they repaired only. Now working but I lost the confidence to buy again due to the refusal of replacement instead repair.,3.0
Screen size is to small like a tablet. I recommend 15.6 inch as I already have a previous version 15 inch dell laptop.,2.0
Super hitting issue ... Please don't buy it this model... And there is no return option for this issue,2.0
I bought this a week back and battery was draining I asked for return they just dragged saying inspection will be there but everything is scam Amazon is good but employees working are useless especially customer service they have proper scamming plan,1.0
"Very nice laptop, amazing colour ie silver",5.0
Light weight ... Quality screen .... Best Backup time .,5.0
Battery average,4.0
If you want a cheaper one buy this. Its OK but for the poor speaker quality.,4.0
"Working fine.Display size is large,good battery backup,sound quality is ok,can go for it.Delivered on time and safely.",3.0
Bag not received with this order rest all good,3.0
"Please Please Please dont buy this product👎👎👎, display is terrible brightness non existent compared to other laptops, especially under sunlight or well lit places.",2.0
Please dont waste hard earned money.,2.0
I dislike this because battery is draining and system is also 80%utilisation showing. More problem arise.,2.0
"Never expected a counterfeit battery being provided with the laptop. This is a question of credibility 1and expect concerned to take strict action.
Anyway, Amazon tech-support team has agreed to return and refund the amount",1.0
In the specification they mentioned it as led but it's is lcd not at all satisfied with the product,1.0
Light weight - not too big or small. Right size to handle work. Soft touch response. I am happy with this product.,5.0
I wonder why such hate for this laptop in the review. It is lite laptop powered by AMD processor with windows OS. I will buy this laptop anyday instead of buying the Chromebooks in this budget.,5.0
Is the waranty period one year starts from the date of purchase,4.0
On scanning the bar code it shows that it starts from June 2023,4.0
"After few weeks, facing issue in keyboard keys, it stuck and hard to press also raise complaint till not resolved yet.",3.0
Better problam,1.0
"Performance great, good quality, nice design, have inbuilt fingerprint sensor works fine, keyboard , heat issue( if u play high end games u will fell the heat on keyboard) for normal games or normal uses no heat issue.",5.0
Nice product value for money,5.0
"Very nice laptop in this prise and laptop batery backup is wonderful, it giving more than 6-8 hour continue back up.",4.0
"Product key not provided for preinstalled word, excel programme opration.",4.0
This laptop is the premium laptop in this segment.but processor is old processor.bluetooth connectivity is worst.It doesn't coming with Microsoft office.look wise it is superb.,3.0
In normal usage Laptop working fine but while charging it heat up,3.0
"Very Slow laptop it didn't felt the process is made up of i3. Very Slow during multitasking, Bluetooth takes 5 mins to transfer 5 mb data, heating issue... Sorry techno team needs improvement.. Thank you Amazon for your service...",2.0
battery backup is only feature to highlight keyboard is sticky very dim light and heating problem camera is very poor and cheap i am giving riview after using 15 days .,2.0
Do not buy this cheap company products as they have poor quality and performance of the product my product was not working from day 2 and i have asked for refund as per policy it took me 45 days to get my refund back worst case ever seen do not waste your time in this company,1.0
Please 🙏 Don't buy laptop looks good but slowly it will go to repair.even service is slow..,1.0
Good Configuration. Battery backup is average. Audio is not satisfactory.,5.0
Good product received,5.0
Battery not lasting for more than 3 hrs . All other features work as expected.,4.0
Build quality is good. processor is working,4.0
Smooth and fast.,4.0
Value for money but screen too small,3.0
The over all features of laptop is good . But I felt that battery performance is not good compared to other brand.. sound quality also ok..but battery drained after using 2 hrs.... Display of laptop seems like very small.. but smoothness is good. Touch quality also good.. i concerned about battery performance....i can't say it is worth of 50k but needed much performance in battery 🔋,3.0
"Within15 days, bluetooth stopped working suddenly. Service center is not available nearby. Don't buy just because it is i7. will review again after 3 months usage.",2.0
Laptop don't have pros it have only cons.,2.0
"Worst body, no service centres in Hyderabad,telangana and main and worst thing is no MS office is activated unable to edit",1.0
It's not so fast as it is i7.. I'm not satisfied with this laptop..,1.0
ts working well and it is in good condition..worth for its price..,5.0
I purchased this one week before its working excellent and speed also very good ... value for money.. thanks amazon,5.0
"A good laptop for casual use or for kids....except for 2-3 keys of keyword( which came out- but i manage to fix that) , overall its good. baterry backup- 5/5 , screen - 5/5",4.0
Product packaging is good and very comfortable to use,4.0
3.0 out of 5 stars The memory is not 512 SSD it is 100 gb SDD and 377 HDD,3.0
battery drain fast.otherwise ok,2.0
"Bought this laptop for a student in India. Laptop doesn't charge or turn ON. Tried to look for service options but non existent near the place of delivery (Kozhikode, Kerala) and only option is to call some 1-800 number . I am not sure if this laptop was ever checked to be in working condition before shipment -",1.0
Item defective with gap in the in the lower panel and line showing on the display . Very disappointed with the product.,1.0
Anyone can blindly buy this laptop Under Rs.50000 for slim notebook laptop.,5.0
Good product in this price range as compared to other laptops.,5.0
Best laptop look is nice. Processor is best. But one thing I don't like is speaker,4.0
Full display And best value product,4.0
Quickly Discharging a big issue.,3.0
Nice one ..I'm happy with it.,3.0
Defective,2.0
Chirp sound come while charging and screen is on,2.0
"Very very worst,,, no buying waste of money don't buying this laptop,",1.0
Never buy this laptop..so much disappointed speed became super slow and laptop not working 😞,1.0
This is a good laptop. Bought it during big billion sale at a huge discount. The performance is good. Only the Audio quality is not upto the required standard,5.0
Product aacha hai baki packing bahat kharap,5.0
Screen is loq quality,4.0
"All features are good, but I don't like touchpad getting sound when touching touch pad",4.0
"In the laptop shutdown button, not seperated. If any situation or human error cleck on shutdown button, pc shutdown",3.0
Poor performance of battery...limited to 2 to 2.5 hrs per full charging.,3.0
There were no shock absorbers in the packaging which can result in malfunction later on. Screen is flickering just after 7 days,2.0
"Value for Money, but battery and display light are major drawbacks of this. Screen looks yellowish, not whitish as expected. Battery won't last for 2 hours atleast.",2.0
"Please don't buy laptop online, Amazon or it's vendor are cheating us with old or problematic laptops with good discount as they cheat in low level markets..Rs . 65000 gone waste in just 2 uses of this Asus laptop",1.0
Worst Laptop. Display is too bad.,1.0
"Für alles außer Zocken toll, den langsamen Prozessor merke ich nur nach dem Hochfahren",5.0
"Impeccable 👍 ce PC portable est idéal pour mon fils de 16ans il l'utilise très régulièrement pour ces travaux et ces passe temps, et bien il est égal à une grande marque pour ces performances et la qualité du produit, je dirais même plus solide encore que certains modèles très chère que j'ai eu dans le passé 😬 qui n'ont pas fait long feu malgré le prix très élevé. En bref ce PC portable est idéal pour tout public avec une conception de très bonnes facture, je le conseille sans hésiter 👌",5.0
Light weight and speed,4.0
For the price the display is excellent. Battery life is average. Speakers are below average. Performance is decent. If u like consuming media a lot u can go for it. Not meant for heavy tasks. But handles day to day tasks well...,4.0
"Laptop charger not working, Kindly replace it",3.0
2V/3A adapter with cable not received,3.0
Low volume and lagging very badly and working very slow I need a return or replacement and also technician team doesn’t visit at your place don’t buy this,2.0
"No lo recomiendo , a los 3 meses de uso al iniciar sesion sale error, poca capacidad, sirve para darle poco uso, si no se satura.",2.0
